,0,1,2,3
0,0.20853165,-0.23500682,0.1603128,-0.02866207
1,-0.19225262,-0.16124642,-0.13251665,-0.106304735
2,-0.12434264,0.2032285,-0.21272005,0.11365619
3,0.14784852,-0.19753371,0.22388491,-0.049163565
4,-0.008142471,0.07956773,-0.21465789,-0.070338875
5,0.010104418,0.19638729,0.1042144,-0.13476333
6,-0.14434558,0.09215492,0.10093689,0.18017733
7,-0.053998053,0.105163485,0.17446354,0.07072833
8,-0.11664891,-0.025428474,0.08796394,0.22956562
9,0.1428932,0.05920148,0.21796334,0.11387724
10,-0.112202525,-0.032358438,0.035885394,-0.20917635
11,-0.175733,-0.11124498,-0.20091838,0.16264474
12,0.12322298,0.028367132,0.23993069,0.131046
13,-0.20435166,0.21883476,0.00060999393,0.14993215
14,-0.036046892,0.10502833,-0.18039735,0.19338214
15,0.19506621,0.08833119,0.15290278,0.14253315
16,-0.22385554,-0.14059916,0.12818813,-0.17692134
17,-0.07493162,-0.061488196,-0.1848644,0.14856818
18,0.116936564,-0.18029009,-0.22290795,-0.18006995
19,0.18456319,-0.014406592,0.053155422,0.050432235
20,-0.18947738,0.17828411,-0.16831806,-0.052605107
21,-0.11515461,-0.22656927,0.17915186,0.22412395
22,-0.018241942,-0.02957867,-0.05603203,-0.026158154
23,0.12908888,0.0543164,0.075624436,0.22288474
24,0.12843832,-0.029015735,0.23798987,0.20403877
25,0.23626891,0.029825032,-0.05846551,0.19229048
26,-0.19323204,-0.1967478,0.16584408,-0.005530551
27,0.22250885,-0.0063264966,0.02133134,0.18947396
28,0.028547466,-0.20147793,-0.10969782,-0.18402036
29,-0.16352338,0.090700924,-0.13845444,0.011285752
30,0.05733663,0.021885127,-0.04576075,-0.16506469
31,-0.0074453056,0.17199147,0.086530864,-0.021513283
32,0.13318038,0.10124937,-0.09899624,0.04056847
33,0.07381126,0.2190502,-0.21686922,0.18625289
34,0.042201757,0.20372012,-0.02109009,0.112309396
35,0.22373483,0.014097303,-0.15786375,0.18503505
36,0.23699197,0.04565537,-0.16977148,-0.2047933
37,-0.014706552,0.064695746,0.066942126,-0.18995234
38,0.013536215,-0.11381784,0.16071436,-0.07372354
39,-0.21352378,-0.18544017,-0.19459355,-0.15312359
40,-0.04835245,0.10554448,0.037537932,0.037634254
41,0.09216237,-0.087092236,0.21175012,0.12315109
42,-0.03897126,0.16209477,-0.1315184,-0.021687552
43,0.015351146,0.039212108,0.15861335,-0.12364004
44,0.22948551,0.23836538,0.09741685,-0.23460001
45,-0.18986295,0.022962749,-0.20365095,-0.13975191
46,0.06741765,0.09549743,0.010877848,-0.07794401
47,-0.2060866,-0.14862654,0.11920419,-0.03082335
48,0.05809602,-0.08059521,0.020240784,-0.12609012
49,0.16751948,-0.20917206,0.1495071,0.12255606
50,0.16828987,-0.08653481,0.052890062,-0.10748693
51,0.012744665,-0.08081597,0.1366745,0.14134043
52,-0.14174542,-0.102827296,-0.045162886,-0.015369415
53,0.10086283,0.0036518127,0.2213405,-0.06102766
54,0.059502423,-0.18145512,-0.11212282,-0.032383397
55,-0.19219548,-0.19616826,-0.192643,0.21145761
56,-0.22008839,0.07192579,-0.22906631,-0.027205437
57,0.10926598,0.12754613,-0.16466607,-0.12486445
58,-0.13895395,-0.018624544,-0.051295415,-0.005092919
59,0.17470324,0.14546892,-0.047127128,0.1162011
60,-0.08453089,0.12120354,0.17733651,-0.087348044
61,0.077914566,-0.09395017,0.18045726,0.03306967
62,-0.10880074,0.056337833,-0.04265532,-0.17169288
63,0.1456832,0.20939997,-0.08182591,-0.08245103
64,0.14734256,0.056384563,-0.12226903,0.035361826
65,0.10389146,-0.1253405,-0.12480799,0.021603525
66,-0.02547279,2.5764108e-05,0.02194032,0.11046931
67,0.12674215,-0.010914788,-0.07311863,-0.016697884
68,-0.17835072,-0.10427344,-0.01214394,0.15575904
69,-0.22636323,-0.13619253,0.084976256,-0.1968227
70,0.08489475,0.064136,0.14395338,-0.07710104
71,-0.09795308,0.0018422008,0.21492177,0.047905654
72,-0.07297936,0.117678165,-0.12763001,0.19033152
73,0.07762778,-0.15739462,-0.014525369,-0.07010259
74,-0.08254862,-0.09742628,-0.023849756,0.03351459
75,0.041897267,0.15642202,0.022667825,-0.1950979
76,0.09555304,0.08951002,-0.040745303,-0.19824387
77,-0.12242485,0.10377276,-0.018593967,-0.18422852
78,-0.020769909,0.0006851852,0.19836366,-0.025861114
79,-0.16069414,-0.20233189,-0.22770916,-0.11237238
80,0.21918082,0.03670156,0.058115214,-0.030514285
81,-0.11128701,0.14704317,-0.190755,0.15399909
82,0.13684753,-0.06673384,0.19335535,0.0021269321
83,-0.23022641,-0.06508182,0.21462953,-0.14918092
84,0.0054081082,0.22237366,0.06282583,-0.0635598
85,-0.21463785,-0.06878203,-0.074683145,-0.16081102
86,-0.06764689,0.09584087,-0.050172374,-0.011855841
87,-0.097604215,0.11667636,-0.12604116,-0.12856787
88,0.17642233,0.20429984,0.15413785,0.05614862
89,-0.121714294,0.10181522,-0.19137558,-0.23087639
90,-0.12650695,0.06708121,0.19642246,-0.024659261
91,-0.23015156,-0.07462606,-0.14111239,-0.17857295
92,-0.175822,-0.14001459,0.16969159,-0.2392301
93,0.01895544,-0.14773163,-0.08414543,0.17673415
94,-0.05600494,0.03207931,0.07544008,0.05408001
95,0.17143631,0.025846869,0.008988455,0.11025119
96,0.03341636,-0.057976857,-0.03548506,0.025333703
97,0.005617082,-0.23008284,-0.11959154,0.21462438
98,-0.09020139,-0.17701244,0.02760613,-0.047372222
99,-0.14231493,-0.10598707,0.0439004,-0.0077622235
